epoch,loss_data,loss_phys,val_data,val_phys
0,14.09262962484181,12014.717965092463,13.85197873549028,10265.906251951174
1,14.361017038581076,10687.904191537922,14.225514759669652,8933.916245375718
2,14.709586380662097,8460.790600616418,14.770838442620459,6220.521964851555
3,15.093720741367221,4848.679708530841,14.763592437549786,1924.247094458276
4,14.938004156296024,2232.6071656568815,14.445852316819229,566.8846443168648
5,14.69218045126335,827.0244995574379,14.244977556146704,329.16634089177427
6,15.607423705673694,3140.608874709835,15.500386969788329,1593.7243660880135
7,15.431872307376171,1357.2326320919651,14.816438209045899,673.3832762086546
8,15.305967189965028,1022.5024274466488,15.181031634400298,669.1129882690551
9,15.19351192836309,747.1417217583246,14.548509882642078,343.60392756657404
10,14.74335238757949,555.1134057739106,14.338567608958119,326.87415251984345
11,14.75841259712286,599.2011298361789,15.024039966838581,389.73482524860395
12,14.886278823490596,531.8341138746855,14.455819753976492,219.17973986157884
