epoch,train_loss,train_phys,val_loss,val_phys
0,1.0032419695464263,1070779200.2551811,0.9555538921774208,398.52249066241376
1,1.0013568057103104,4786759.673845193,0.9546002371982857,2074.2138352370284
2,1.0006980839107515,803748.9337468789,0.9546116311828812,1887.9048184481535
3,1.0005798705136135,167743.47148388732,0.9548578613049739,1501.2335997742491
4,1.000504049766674,27972.294412745785,0.9548130757086999,1945.9293601905906
5,1.0004996757419518,6071.78708365032,0.9546979374878414,2396.9492416762923
6,1.0005179681748932,11277.90402377887,0.9546481360952099,3185.7558501069243
7,1.0005213721675075,10654.885094559535,0.9549766312112341,1656.7839622535666
8,1.0005400313829513,7139.639755237594,0.95506931871146,1453.447762930429
9,1.0005359934882427,2977.06436482595,0.9549141250528418,1807.060710651653
10,1.0005570965201667,8185.482008116076,0.9552065837573814,1073.0718534395291
11,1.0005206150694583,2874.1284970020383,0.9547778068484365,2256.803760936329
12,1.0006481268209464,3294.1469018219414,0.9550363696538485,2043.4577595256305
13,1.000496985005231,3123.8055892963384,0.9550188311210999,1028.869258549068
14,1.0005768740482246,5131.606848525525,0.9546364093428249,3072.4437383905156
15,1.0005803389830537,18528.222364957623,0.9549032659321041,1742.283510190981
16,1.000501848710759,2211.0391198318994,0.9549891643084727,1381.3211884550997
17,1.0004612125260999,3726.4303828131096,0.9546189170766186,3590.967097843563
18,1.000765317966801,2656.53597023496,0.9543809488817647,3439.075185312734
19,1.0005808267291267,2428.784614355347,0.9547432029283011,2004.894629052588
20,1.0005599586518665,24020.45892935954,0.954622710263217,3173.9502299458354
21,1.000500574760074,2175.3109972397783,0.9548697515235438,1143.4668429714816
22,1.000484485423818,2138.1479201108477,0.9550116366588629,1477.590702388432
23,1.0005231256546747,2653.1240482477956,0.9549752849858482,1282.7909512362637
24,1.0005729177210958,2798.436401458626,0.9546604403755167,4270.286168909216
25,1.0005624163537734,2611.033416877585,0.954946007062267,2461.43457177588
26,1.0005559001262119,10156.357804575335,0.95503070435443,1144.814852993686
27,1.0005484680483552,2241.355586461747,0.9545245681490216,3063.756915203937
28,1.000537318348438,3472.643021022306,0.954768816386903,1842.3662014255276
29,1.0005491392889272,3388.2091111391524,0.9546688435735046,2539.224592302229
30,1.0005716035391359,2761.422766067562,0.9547140726914535,2010.0655735865696
31,1.0005182890074977,10920.55486348851,0.9549309696618851,1777.426225020097
32,1.0004949497893807,2018.1819635550776,0.9546498321778291,3615.0263974306945
33,1.000595075747791,2822.35811013211,0.9549858886878807,2120.4773366282157
34,1.0005448777689023,27641.16993929402,0.9549331942519227,1170.5832040274179
35,1.000509449508455,2099.345004108634,0.9546552303728166,2786.393392983969
36,1.0005486063445255,2082.600711726309,0.9546474038840055,3398.9289358102833
37,1.0005873876006415,2865.11945991278,0.9545922905176908,2259.634071982705
38,1.000524205836315,21302.24816144736,0.9546562052451886,1979.1235234492071
test,0.7634554809331894
