epoch,data_loss,phys_loss,val_data,val_phys
0,0.18912168437622012,283.68423557694695,1.1721962355114481,0.01054794062580262
1,0.3763719619362244,0.006285879229510507,1.2505568211133424,0.005483764561021572
2,0.3792304011915209,0.005137378054690755,1.251187228418135,0.004308978526887449
3,0.3639562109510848,0.0035233551163700748,1.195996302884299,0.0033737475021772987
4,0.3122778998852967,0.0033931001054632306,1.1611563855713303,0.003395190598772509
5,0.2852334706970815,0.0033508863887248487,1.1406510995699095,0.0032446432687048164
6,0.26202422742093545,0.0031886402280366377,1.114527725732767,0.0030593319945353696
7,0.22982859095830596,0.003053371783301755,1.075707869751232,0.003024130454891688
8,0.19421125146259233,0.00311522993216112,1.0450657975304496,0.003150925823635274
9,0.16921150865551832,0.003218572013214993,1.0279019851308244,0.0031226102577207922
10,0.15387378640091523,0.0031315293590353332,1.013685336658409,0.002953232823546369
11,0.14172602087519737,0.002903873378238856,1.0010194223482054,0.002748377833535874
12,0.12998145886425966,0.00272318512415246,0.9905752718270003,0.002639331864881572
13,0.12107004546903344,0.0025999653410078137,0.9812589001345944,0.002463740190131949
14,0.11424889570653216,0.0025010422558713235,0.9738015481880257,0.0024553329447055466
15,0.10851737342858582,0.0024631233265583917,0.9687921746627434,0.002419444920074615
16,0.103521659036403,0.0024658081502526926,0.9647946869814908,0.002380110484619553
17,0.0989008932617422,0.0024600551693296797,0.9587380169750331,0.002450808785952531
18,0.09487004765633787,0.0024485654188913016,0.9555676830755724,0.0024789375456312408
19,0.09162433219796857,0.0024744367750173203,0.9532232294073114,0.0026158100837463893
20,0.08926219879911187,0.002525490905901187,0.949121167788377,0.0024479970109875086
21,0.08648476544279285,0.002429386514405279,0.9480559811606393,0.002695362095708971
22,0.08421106997426232,0.0024012635161428154,0.946795352629491,0.0025857806198306375
23,0.08213113892762998,0.00235779546910476,0.9422079480730451,0.0023253036809007784
24,0.08018017253476879,0.002363817284951049,0.9415724681807565,0.002633616521528417
25,0.0783982033623887,0.002348185894538773,0.939984431335857,0.002323383873851447
26,0.07636547600769074,0.0022631845194567343,0.9371790274397119,0.002513347662516407
27,0.07459615572598692,0.002273258583017912,0.9367208765460537,0.0027031858196271794
28,0.07291610194428286,0.0022425231580784108,0.9349534568134007,0.002245407432204226
29,0.0713382211945179,0.002254846055914047,0.9319940644067961,0.002373863834297874
30,0.0697594921445281,0.00227500340743188,0.9308740011342874,0.0021479357748974363
31,0.06810586350631624,0.002249409123608719,0.9298421991216791,0.0021100928932502793
32,0.06638939397667677,0.002210260604621003,0.9280688095759678,0.002072482257495289
33,0.06468172701036141,0.002216975720245833,0.9268512862783808,0.002143816283478827
34,0.06317058389125096,0.0023821756413459926,0.9268128007322878,0.0025157446677161084
35,0.06302122758159626,0.0027003268154917027,0.9234999506385414,0.00217049269723919
36,0.05980162535899885,0.0021835403498866772,0.9215052598244422,0.002284451708807931
37,0.05800595098499502,0.002238912381622452,0.9198137245454512,0.002254056813126499
38,0.056250611143872684,0.002243933801454365,0.9188121347636967,0.0024209023552382
39,0.05474436889017715,0.0022991773524157675,0.9171288514232541,0.0025754721900848273
40,0.05335705445965429,0.0023554622521217024,0.9161989425088499,0.0022135935972661495
41,0.05205600381864888,0.00234850475014642,0.9153205115835626,0.0024941323890716404
42,0.05099788276425164,0.002433723562772615,0.9139698765256427,0.002259587281505455
43,0.05001570807395505,0.002385629497389408,0.9128395592296993,0.002375389239727543
44,0.04910693671670597,0.0024153648749500813,0.9123034922035781,0.0027420954680168904
45,0.04835178466530031,0.0024711636190399176,0.9115152631725345,0.0029347905583054453
46,0.047599768357702556,0.002445242761316873,0.9104057027028871,0.002818799052447021
47,0.04694593128342456,0.002500422927696309,0.9103711757150206,0.002266482393314074
48,0.0463467944241344,0.002493020211731301,0.9095216188635621,0.0026315102403933234
49,0.04571769767616423,0.002499120710905962,0.9085913200478454,0.0025374777994205157
50,0.04517446994669875,0.0025351312151585662,0.9089732828673783,0.0024743459106503904
51,0.04459093342094535,0.0025253112398241455,0.9076597975207852,0.002295220230513445
52,0.044038867508613515,0.0025565493175790143,0.9082455724388451,0.002580185205657984
53,0.043509339765365355,0.0025536862842054963,0.9073926378320624,0.002900222937188499
54,0.04299717940269189,0.0025641391956632243,0.9067111301136302,0.0024372596588156945
55,0.04248739051238428,0.002595684887346034,0.9063539890261678,0.0030535142912950877
56,0.042013373229647995,0.0026377037662277916,0.9062486693456575,0.002410081687144243
57,0.04153403879960676,0.0026288655470852063,0.9053359060854345,0.0037602120000947187
58,0.04111541928386272,0.002674680577530601,0.9048642476836404,0.002752735644446818
59,0.04062629554806726,0.002653973391070292,0.9043256777983445,0.0028641236302620553
60,0.040125110358483485,0.002651024703227086,0.9038790999116241,0.0028379953945042577
61,0.03968796766317739,0.002673011554053958,0.9036958810690042,0.00276419622232797
62,0.03925963936654965,0.0026920446217962345,0.9033997097572724,0.0031451164588023285
63,0.03887157438046179,0.0026988578371973373,0.9032194236299017,0.0027741851002725955
64,0.03841630220506224,0.002725793058506112,0.9022292713304381,0.0027768970483432074
65,0.03805518101031116,0.0027813106309622524,0.902749205147708,0.0035835694255108214
66,0.03899269704236073,0.004588336546087961,0.9034826977626903,0.0031734741133331626
67,0.03838021830282408,0.0028857992359142886,0.9024535929049169,0.002849037634566069
68,0.037282907417725386,0.0027061945548311306,0.9013977065667524,0.0025920034372261713
69,0.036823115408532184,0.0027121739306216236,0.9010766210494103,0.0029384541163848085
70,0.036387023190210824,0.0027576985258548595,0.9005804422137501,0.0024427348330568572
71,0.03598309652077571,0.0027366213106925826,0.8999900473104967,0.00327600130079115
